DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,26075.0000,26600.0000,26075.0000,26550.0000,4020,19735,0,0,0.0000
19900103,26675.0000,27450.0000,26675.0000,27412.5000,9806,19213,0,0,0.0000
19900104,27500.0000,27900.0000,27000.0000,27137.5000,10011,18052,0,0,0.0000
19900105,27375.0000,27550.0000,27175.0000,27375.0000,4158,18171,0,0,0.0000
19900108,27400.0000,27950.0000,27125.0000,27837.5000,7958,19334,0,0,0.0000
19900109,28000.0000,28125.0000,27500.0000,27550.0000,6074,19322,0,0,0.0000
19900110,27375.0000,27500.0000,26962.5000,27025.0000,5839,18978,0,0,0.0000
19900111,27200.0000,27375.0000,27162.5000,27300.0000,3028,19141,0,0,0.0000
19900112,27000.0000,27050.0000,26250.0000,26475.0000,8893,19831,0,0,0.0000
19900115,26250.0000,26325.0000,25750.0000,26000.0000,7654,19620,0,0,0.0000
19900116,25750.0000,26375.0000,25575.0000,26125.0000,9177,18422,0,0,0.0000
19900117,26100.0000,26325.0000,25825.0000,26000.0000,4371,18147,0,0,0.0000
19900118,25825.0000,26150.0000,25500.0000,25587.5000,6168,18196,0,0,0.0000
19900119,25000.0000,25200.0000,24700.0000,24825.0000,10791,20153,0,0,0.0000
19900122,24900.0000,25025.0000,24400.0000,24687.5000,6648,20385,0,0,0.0000
19900123,24000.0000,24475.0000,23937.5000,24362.5000,7133,20188,0,0,0.0000
19900124,23925.0000,24250.0000,23750.0000,24150.0000,6470,20783,0,0,0.0000
19900125,24600.0000,24800.0000,24375.0000,24425.0000,4914,21252,0,0,0.0000
19900126,24275.0000,24875.0000,24175.0000,24587.5000,6172,21516,0,0,0.0000
19900129,24875.0000,25050.0000,24075.0000,24187.5000,5860,21184,0,0,0.0000
19900130,24000.0000,24325.0000,23875.0000,23912.5000,6125,21546,0,0,0.0000
19900131,23750.0000,24712.5000,23750.0000,24650.0000,8632,21712,0,0,0.0000
19900201,24675.0000,24925.0000,24375.0000,24425.0000,7294,21953,0,0,0.0000
19900202,24650.0000,25175.0000,24650.0000,25012.5000,6731,21688,0,0,0.0000
19900205,24875.0000,24962.5000,24650.0000,24675.0000,3891,21563,0,0,0.0000
19900206,24675.0000,24925.0000,24575.0000,24800.0000,3576,21673,0,0,0.0000
19900207,24550.0000,25050.0000,24425.0000,25012.5000,4857,21647,0,0,0.0000
19900208,25025.0000,25300.0000,24775.0000,24937.5000,4912,21672,0,0,0.0000
19900209,25325.0000,25425.0000,25200.0000,25312.5000,4872,21716,0,0,0.0000
19900212,25450.0000,25650.0000,24950.0000,24975.0000,8161,21431,0,0,0.0000
19900213,24875.0000,26100.0000,24750.0000,26050.0000,12435,20150,0,0,0.0000
19900214,25900.0000,26825.0000,25900.0000,26425.0000,14929,18101,0,0,0.0000
19900215,26725.0000,26950.0000,26425.0000,26762.5000,6545,16430,0,0,0.0000
19900216,27250.0000,27900.0000,27137.5000,27837.5000,12101,14846,0,0,0.0000
19900220,28212.5000,28775.0000,28025.0000,28250.0000,12235,13759,0,0,0.0000
19900221,27625.0000,28600.0000,27550.0000,28550.0000,10687,12739,199005,199005,0.0000
19900222,27275.0000,27325.0000,26750.0000,27000.0000,7524,10963,0,0,-1450.0000
19900223,26750.0000,26975.0000,26600.0000,26875.0000,6259,11780,0,0,0.0000
19900226,26525.0000,26900.0000,26525.0000,26762.5000,5666,12246,0,0,0.0000
19900227,26700.0000,26850.0000,26450.0000,26687.5000,6469,12907,0,0,0.0000
19900228,26687.5000,27150.0000,26687.5000,27062.5000,5987,13573,0,0,0.0000
19900301,27250.0000,27475.0000,27150.0000,27300.0000,6802,14230,0,0,0.0000
19900302,27800.0000,28525.0000,27800.0000,28425.0000,12443,14530,0,0,0.0000
19900305,28575.0000,29275.0000,28475.0000,29200.0000,10773,15155,0,0,0.0000
19900306,29025.0000,29350.0000,28562.5000,28837.5000,10703,14756,0,0,0.0000
19900307,28775.0000,29125.0000,28625.0000,28662.5000,5110,14864,0,0,0.0000
19900308,28750.0000,29025.0000,28750.0000,28975.0000,3518,15198,0,0,0.0000
19900309,29425.0000,29487.5000,28750.0000,28875.0000,5968,16034,0,0,0.0000
19900312,28375.0000,28950.0000,28325.0000,28737.5000,4927,15976,0,0,0.0000
19900313,28600.0000,28900.0000,28050.0000,28175.0000,7132,15899,0,0,0.0000
19900314,28275.0000,29687.5000,28275.0000,29350.0000,11537,16634,0,0,0.0000
19900315,29875.0000,29975.0000,29475.0000,29887.5000,7853,17308,0,0,0.0000
19900316,30075.0000,30150.0000,29625.0000,29937.5000,6454,17032,0,0,0.0000
19900319,30050.0000,30225.0000,29525.0000,29775.0000,6551,17388,0,0,0.0000
19900320,29575.0000,29750.0000,29175.0000,29325.0000,7349,17253,0,0,0.0000
19900321,29400.0000,30600.0000,29400.0000,30300.0000,9970,18553,0,0,0.0000
19900322,30025.0000,30100.0000,29375.0000,29525.0000,8134,17660,0,0,0.0000
19900323,29125.0000,29575.0000,29050.0000,29475.0000,6979,17813,0,0,0.0000
19900326,28900.0000,29100.0000,28375.0000,28675.0000,6892,17554,0,0,0.0000
19900327,29025.0000,29100.0000,28000.0000,28062.5000,9835,16790,0,0,0.0000
19900328,28100.0000,29350.0000,27925.0000,29125.0000,12651,16157,0,0,0.0000
19900329,29750.0000,29825.0000,29275.0000,29475.0000,5765,16140,0,0,0.0000
19900330,30062.5000,30675.0000,29875.0000,30600.0000,9405,16241,0,0,0.0000
19900402,30775.0000,30850.0000,30125.0000,30225.0000,9090,15975,0,0,0.0000
19900403,30475.0000,31250.0000,30375.0000,31212.5000,7211,15910,0,0,0.0000
19900404,30875.0000,30950.0000,29900.0000,30037.5000,9292,15907,0,0,0.0000
19900405,30200.0000,30475.0000,29562.5000,29725.0000,7142,16039,0,0,0.0000
19900406,29800.0000,30775.0000,29625.0000,30275.0000,8426,16381,0,0,0.0000
19900409,29950.0000,30050.0000,29125.0000,29175.0000,9367,15718,0,0,0.0000
19900410,29475.0000,29875.0000,29187.5000,29837.5000,7558,15840,0,0,0.0000
19900411,29400.0000,30050.0000,29300.0000,29525.0000,7480,15984,0,0,0.0000
19900412,29675.0000,30000.0000,29050.0000,29212.5000,8094,16226,0,0,0.0000
19900416,28925.0000,29400.0000,28875.0000,29125.0000,4062,16039,0,0,0.0000
19900417,28825.0000,29275.0000,28625.0000,29062.5000,8759,16244,0,0,0.0000
19900418,29175.0000,29350.0000,28700.0000,29050.0000,7583,15453,0,0,0.0000
19900419,28775.0000,29225.0000,28725.0000,29150.0000,7214,15046,199007,199007,0.0000
19900420,27100.0000,27200.0000,26550.0000,26625.0000,11283,12112,0,0,-1500.0000
19900423,26875.0000,27037.5000,26350.0000,26425.0000,11434,11889,0,0,0.0000
19900424,26525.0000,27250.0000,26400.0000,27125.0000,15196,12661,0,0,0.0000
19900425,27450.0000,27975.0000,27400.0000,27775.0000,13166,13070,0,0,0.0000
19900426,27575.0000,28212.5000,27500.0000,28025.0000,10861,13592,0,0,0.0000
19900427,27700.0000,27900.0000,27325.0000,27900.0000,5899,13910,0,0,0.0000
19900430,27175.0000,27375.0000,26800.0000,27225.0000,7514,13848,0,0,0.0000
19900501,27625.0000,28625.0000,27600.0000,28325.0000,12255,14080,0,0,0.0000
19900502,27800.0000,28225.0000,27725.0000,28037.5000,5448,13686,0,0,0.0000
19900503,28450.0000,28600.0000,27850.0000,27900.0000,6493,14032,0,0,0.0000
19900504,27925.0000,28000.0000,27450.0000,27812.5000,6297,14161,0,0,0.0000
19900507,27475.0000,27950.0000,27375.0000,27412.5000,4416,14344,0,0,0.0000
19900508,27525.0000,28100.0000,27525.0000,28037.5000,6609,14497,0,0,0.0000
19900509,28387.5000,29500.0000,28387.5000,29375.0000,9658,15091,0,0,0.0000
19900510,29375.0000,29812.5000,29275.0000,29600.0000,12867,15277,0,0,0.0000
19900511,29325.0000,29725.0000,29275.0000,29412.5000,8979,17577,0,0,0.0000
19900514,29150.0000,29437.5000,28500.0000,28750.0000,8945,17755,0,0,0.0000
19900515,28600.0000,28775.0000,28162.5000,28525.0000,8887,17343,0,0,0.0000
19900516,28325.0000,28750.0000,28275.0000,28600.0000,5218,17308,0,0,0.0000
19900517,28850.0000,29100.0000,28475.0000,28725.0000,6172,17477,0,0,0.0000
19900518,28475.0000,28775.0000,28250.0000,28712.5000,5229,17436,0,0,0.0000
19900521,28250.0000,28437.5000,28050.0000,28362.5000,5314,17557,0,0,0.0000
19900522,28475.0000,29212.5000,28475.0000,29037.5000,7814,17560,0,0,0.0000
19900523,28825.0000,29075.0000,28525.0000,28762.5000,6150,17940,0,0,0.0000
19900524,28950.0000,29225.0000,28887.5000,29137.5000,4852,17814,0,0,0.0000
19900525,28825.0000,28925.0000,28525.0000,28812.5000,4984,17773,0,0,0.0000
19900529,28800.0000,28950.0000,28075.0000,28125.0000,7649,18067,0,0,0.0000
19900530,27750.0000,28200.0000,27750.0000,27875.0000,7291,17911,0,0,0.0000
19900531,28150.0000,28250.0000,27475.0000,27712.5000,9911,18128,0,0,0.0000
19900601,27575.0000,28125.0000,27575.0000,27950.0000,5986,17479,0,0,0.0000
19900604,28025.0000,28250.0000,27750.0000,27787.5000,4723,17338,0,0,0.0000
19900605,27600.0000,28450.0000,27550.0000,28275.0000,7809,17298,0,0,0.0000
19900606,28075.0000,28225.0000,27875.0000,28025.0000,4510,17076,0,0,0.0000
19900607,27825.0000,28250.0000,27725.0000,28037.5000,4547,17221,0,0,0.0000
19900608,28125.0000,28375.0000,27862.5000,27937.5000,6246,16313,0,0,0.0000
