DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19930204,23370.0000,23380.0000,23225.0000,23270.0000,41,41,0,0,0.0000
19930205,23255.0000,23270.0000,22945.0000,23020.0000,91,91,0,0,0.0000
19930208,23020.0000,23080.0000,23010.0000,23050.0000,43,43,0,0,0.0000
19930209,22990.0000,23040.0000,22825.0000,22830.0000,46,46,0,0,0.0000
19930210,22850.0000,22900.0000,22815.0000,22870.0000,46,46,0,0,0.0000
19930211,22950.0000,23000.0000,22950.0000,22970.0000,11,11,0,0,0.0000
19930212,22990.0000,23020.0000,22840.0000,22840.0000,79,79,0,0,0.0000
19930216,22780.0000,22780.0000,22050.0000,22140.0000,57,57,0,0,0.0000
19930217,22100.0000,22100.0000,21830.0000,21860.0000,134,134,0,0,0.0000
19930218,22000.0000,22120.0000,21700.0000,21950.0000,126,126,0,0,0.0000
19930219,22100.0000,22100.0000,22070.0000,22090.0000,12,12,0,0,0.0000
19930222,22070.0000,22070.0000,21820.0000,21850.0000,104,104,0,0,0.0000
19930223,21870.0000,21900.0000,21725.0000,21830.0000,132,132,0,0,0.0000
19930224,21850.0000,22170.0000,21790.0000,22170.0000,46,46,0,0,0.0000
19930225,22140.0000,22195.0000,22120.0000,22180.0000,81,81,0,0,0.0000
19930226,22180.0000,22270.0000,22180.0000,22270.0000,29,29,0,0,0.0000
19930301,22320.0000,22375.0000,22285.0000,22300.0000,64,64,0,0,0.0000
19930302,22300.0000,22500.0000,22280.0000,22500.0000,18,18,0,0,0.0000
19930303,22520.0000,22660.0000,22520.0000,22655.0000,263,263,0,0,0.0000
19930304,22620.0000,22660.0000,22520.0000,22560.0000,37,37,0,0,0.0000
19930305,22570.0000,22735.0000,22550.0000,22600.0000,88,88,199306,199306,0.0000
19930308,22800.0000,23060.0000,22800.0000,23060.0000,124,124,0,0,180.0000
19930309,23110.0000,23110.0000,23060.0000,23060.0000,59,59,0,0,0.0000
19930310,23000.0000,23170.0000,22960.0000,23170.0000,199,199,0,0,0.0000
19930311,23200.0000,23250.0000,23165.0000,23190.0000,93,93,0,0,0.0000
19930312,23160.0000,23160.0000,22840.0000,23010.0000,190,190,0,0,0.0000
19930315,23020.0000,23215.0000,22970.0000,23215.0000,95,95,0,0,0.0000
19930316,23210.0000,23210.0000,23090.0000,23090.0000,152,152,0,0,0.0000
19930317,23100.0000,23120.0000,22955.0000,22965.0000,166,166,0,0,0.0000
19930318,23010.0000,23050.0000,23010.0000,23030.0000,42,42,0,0,0.0000
19930319,23060.0000,23060.0000,22880.0000,22880.0000,66,66,0,0,0.0000
19930322,22840.0000,22850.0000,22680.0000,22755.0000,73,73,0,0,0.0000
19930323,22720.0000,22760.0000,22630.0000,22690.0000,416,416,0,0,0.0000
19930324,22660.0000,22660.0000,22500.0000,22580.0000,283,283,0,0,0.0000
19930325,22580.0000,22705.0000,22480.0000,22705.0000,260,260,0,0,0.0000
19930326,22710.0000,22750.0000,22660.0000,22715.0000,109,109,0,0,0.0000
19930329,22700.0000,22820.0000,22690.0000,22800.0000,88,88,0,0,0.0000
19930330,22750.0000,22860.0000,22740.0000,22825.0000,37,37,0,0,0.0000
19930331,22840.0000,22990.0000,22840.0000,22990.0000,26,26,0,0,0.0000
19930401,22910.0000,22910.0000,22825.0000,22825.0000,9,9,0,0,0.0000
19930402,22800.0000,22800.0000,22400.0000,22400.0000,102,102,0,0,0.0000
19930405,22360.0000,22405.0000,22300.0000,22400.0000,52,52,0,0,0.0000
19930406,22440.0000,22440.0000,22225.0000,22265.0000,52,52,0,0,0.0000
19930407,22250.0000,22360.0000,22220.0000,22340.0000,23,23,0,0,0.0000
19930408,22400.0000,22400.0000,22230.0000,22230.0000,15,15,0,0,0.0000
19930412,22400.0000,22460.0000,22360.0000,22460.0000,56,56,0,0,0.0000
19930413,22480.0000,22620.0000,22480.0000,22600.0000,91,91,0,0,0.0000
19930414,22600.0000,22660.0000,22590.0000,22660.0000,16,16,0,0,0.0000
19930415,22580.0000,22585.0000,22485.0000,22545.0000,55,55,0,0,0.0000
19930416,22550.0000,22560.0000,22440.0000,22475.0000,54,54,0,0,0.0000
19930419,22450.0000,22450.0000,22270.0000,22340.0000,15,15,0,0,0.0000
19930420,22340.0000,22340.0000,22150.0000,22285.0000,52,52,0,0,0.0000
19930421,22370.0000,22370.0000,22260.0000,22370.0000,5,5,0,0,0.0000
19930422,22300.0000,22425.0000,22260.0000,22260.0000,30,30,0,0,0.0000
19930423,22300.0000,22320.0000,22100.0000,22250.0000,21,21,0,0,0.0000
19930426,22150.0000,22150.0000,21940.0000,21960.0000,44,44,0,0,0.0000
19930427,21975.0000,22075.0000,21870.0000,22060.0000,54,54,0,0,0.0000
